date,rees-0,cologne-0,andernach-0,trier-0,cochem-0,marburg-0,kaub-0,mainz-0,frankfurt-0,kleinheubach-0,steinbach-0,schweinfurt-0,worms-0,speyer-0,maxau-0,rockenau-0,lauffen-0,plochingen-0
1955-01-01,,,,175.222,0.34,,86.612,268.603,,,,,,157.769,494.959,,,
1955-01-02,,,71.144,304.173,210.575,,0,0,,,,,272.055,560.267,538.706,,,
1955-01-03,,8.232,326.818,291.038,327.07,,189.339,463.831,,,,,652.759,552.32,524.725,,,
1955-01-04,,402.684,573.728,289.634,314.917,,669.736,789.524,,,,,658.18,539.56,514.767,,,
1955-01-05,54.106,807.674,1093.369,292.507,319.752,,819.69,788.302,,,,,646.469,534.024,508.781,,,
1955-01-06,660.772,1126.068,1172.69,285.816,317.287,,811.058,771.646,,,,,634.895,525.071,498.117,,,
1955-01-07,1287.981,1243.997,1210.162,322.551,323.789,,832.773,802.851,,,,,639.735,520.014,494.332,,,
1955-01-08,1595.833,1353.431,1327.542,382.847,403.632,,892.387,847.169,,,,,671.014,548.54,537.314,,,
1955-01-09,1826.28,1501.965,1443.355,350.866,416.911,,896.534,750.515,5.445,,,,747.455,629.62,623.462,,,
1955-01-10,2073.969,1783.563,1799.526,783.349,626.193,,1011.197,944.687,163.526,16.28,59.931,,767.388,779.875,872.112,41.013,70.559,
1955-01-11,2710.495,2697.191,2817.586,1434.358,1438.262,80.616,1393.931,1343.455,220.914,282.871,182.56,41.206,1138.804,1131.003,1394.846,307.171,241.097,
1955-01-12,3623.378,4107.323,4315.604,1791.794,2027.994,126.191,2268.894,2101.109,546.033,429.48,236.583,216.421,2013.579,1907.888,2329.214,532.843,378.444,
1955-01-13,4808.485,5572.138,5711.256,1782.466,2106.187,126.486,3400.219,3310.024,691.688,572.751,391.678,296.121,3203.125,3043.242,3114.918,629.212,401.78,
1955-01-14,6191.875,6665.497,6802.525,1613.903,1916.592,109.658,4567.285,4482.741,779.822,663.915,441.401,293.869,3996.451,3368.49,3199.462,611.439,380.289,
1955-01-15,7318.744,7446.473,7434.319,1523.734,1758.817,98.559,5262.515,5025.791,803.86,660.998,431.155,264.443,4078.41,3312.524,3116.214,583.125,314.681,152.28
1955-01-16,8227.337,7965.877,7929.885,1753.687,1875.169,110.918,5606.318,5267.734,886.553,730.356,462.913,278.341,4141.768,3421.401,3335.567,543.31,543.422,271.212
1955-01-17,8982.744,8799.559,8720.655,2066.292,2286.581,138.544,6062.656,5744.565,1083.916,942.817,598.806,427.839,4581.376,3932.517,3880.104,719.003,696.893,338.042
1955-01-18,9754.766,9475.946,9378.005,1987.748,2325.904,141.663,6600.041,6333.292,1245.055,1122.441,750.355,550.358,5057.251,4272.275,4036.749,736.881,665.994,319.095
1955-01-19,9922.922,9646.573,9423.57,1684.666,2000.237,122.262,6796.583,6487.638,1290.021,1124.89,773.029,507.442,4895.303,3930.029,3565.046,645.141,565.254,268.115
