rockenau,maxau,cologne,rees
864.07,4547.767,9590.666,9753.263
723.215,3769.567,8182.114,8651.166
885.58,3776.206,8972.081,9380.397
899.729,4130.709,8864.038,9071.717
810.59,3707.643,8071.079,8354.173
657.29,3060.602,6059.325,6161.421
317.901,1664.429,3379.392,3544.866
664.918,4897.676,6960.542,7120.425
771.302,5107.398,11096.996,11194.502
607.715,2542.668,4558.705,4710.178
504.546,3419.572,5268.303,5380.688
657.765,4244.528,8166.846,8499.548
412.049,3477.113,5345.505,5617.157
430.275,2353.229,3569.146,3742.097
759.009,4203.538,9867.485,10274.362
586.914,3604.609,5788.003,6186.083
1498.432,4488.53,12430.111,13292.6
837.382,4451.977,7668.923,8006.946
561.339,4368.913,6657.312,6790.353
621.614,2907.988,5288.914,5455.554
1106.789,5886.001,9423.463,9700.152
723.523,3008.073,5375.765,5709.204
1673.559,10534.625,21109.317,21416.848
440.296,3513.78,5194.249,5363.839
1389.102,5128.942,11933.067,12514.28
745.07,3923.602,6964.679,7225.553
1305.618,4834.714,12440.473,12890.64
635.083,3269.209,7566.014,8045.471
1507.378,7367.462,18839.956,19560.905
724.527,3317.516,6992.191,7339.839
624.698,3939.171,7179.259,7500.92
1036.123,5532.896,11099.148,11532.695
621.161,2681.054,6137.239,6639.799
659.645,4212.49,6257.606,6341.556
562.899,4771.264,6503.941,6533.038
503.703,2695.5,4887.783,5113.036
461.093,2314.033,3763.698,3854.754
702.038,3803.766,5307.284,5477.022
781.548,3838.486,7121.639,7310.343
655.116,3483.401,4627.795,4670.991
497.533,3007.102,8905.487,10346.79
848.332,3258.229,8602.819,9039.356
552.19,3457.171,6330.154,6480.619
679.675,4595.554,8343.684,8425.722
815.232,4252.016,10204.035,10647.809
665.06,3406.22,7340.352,7565.567
597.893,2900.832,5103.644,5456.57
629.268,2867.873,8253.274,8713.613
979.804,5880.644,9392.578,9305.365
560.695,3645.365,5740.699,5948.87
626.864,3771.042,7411.259,7638.778
715.519,4373.225,8044.45,8576.919
470.15,2702.219,4852.58,4959.301
1469.607,5533.187,12127.818,12426.522
717.686,4845.551,6884.507,6870.319
732.114,3883.042,7630.891,7838.047
527.367,3864.275,6019.161,6414.488
752.283,7059.755,12471.2,13121.738
977.327,3109.482,9556.227,9801.248
933.936,103.584,8187.513,8745.997
678.692,0,4411.914,0
